model_mode,fold,antibiotic_id,antibiotic,n_val_pairs,antibiotic_auc
species_multihead_no_enrichment,3,8,Benzylpenicillin,128,0.8300000000000001
species_multihead_no_enrichment,3,9,Caspofungin,58,0.9886792452830189
species_multihead_no_enrichment,3,10,Cefazolin,1929,0.9289253657533229
species_multihead_no_enrichment,3,11,Cefepime,10035,0.8857502765921024
species_multihead_no_enrichment,3,12,Cefixime,2989,0.7851083146140442
species_multihead_no_enrichment,3,13,Cefotaxime,3940,0.8885552837844417
species_multihead_no_enrichment,3,14,Cefoxitin,1292,0.9599587746420193
species_multihead_no_enrichment,3,15,Cefpodoxime,1199,0.89281328320802
species_multihead_no_enrichment,3,16,Ceftazidime,7704,0.8530798933501943
species_multihead_no_enrichment,3,17,Ceftolozane-Tazobactam,21,0.8777777777777778
species_multihead_no_enrichment,3,18,Ceftriaxone,5315,0.9019658400994807
species_multihead_no_enrichment,3,19,Cefuroxime,6829,0.88381424799934
species_multihead_no_enrichment,3,20,Chloramphenicol,1588,0.9521408659498373
species_multihead_no_enrichment,3,21,Ciprofloxacin,12182,0.8674004601676459
species_multihead_no_enrichment,3,22,Clarithromycin,255,0.8299798792756539
species_multihead_no_enrichment,3,23,Clindamycin,3291,0.8915516704344147
species_multihead_no_enrichment,3,24,Colistin,7688,0.9731012539771664
species_multihead_no_enrichment,3,25,Cotrimoxazol,278,0.885611411161889
species_multihead_no_enrichment,3,26,Cotrimoxazole,5542,0.8575660403979013
species_multihead_no_enrichment,3,27,Daptomycin,3499,0.9164508393285371
species_multihead_no_enrichment,3,28,Doxycycline,170,0.69875
species_multihead_no_enrichment,3,29,Ertapenem,7306,0.9146635566864575
species_multihead_no_enrichment,3,30,Erythromycin,3406,0.8893739053193473
species_multihead_no_enrichment,3,31,Fluconazole,57,0.8818181818181818
species_multihead_no_enrichment,3,32,Fosfomycin,6020,0.7409302992078732
species_multihead_no_enrichment,3,33,Fusidic acid,2495,0.8572834434611061
species_multihead_no_enrichment,3,34,Gentamicin,8366,0.9082971274043117
species_multihead_no_enrichment,3,35,Gentamicin_high_level,124,0.8570833333333333
species_multihead_no_enrichment,3,36,Imipenem,11428,0.9683592771816917
species_multihead_no_enrichment,3,37,Itraconazole,51,0.6558441558441558
species_multihead_no_enrichment,3,38,Levofloxacin,9067,0.8784318920837773
species_multihead_no_enrichment,3,39,Linezolid,3828,0.8226546121593292
species_multihead_no_enrichment,3,40,Meropenem,9704,0.939947556481372
species_multihead_no_enrichment,3,41,Meropenem_with_meningitis,28,0.8260869565217391
species_multihead_no_enrichment,3,42,Meropenem_without_meningitis,21,0.9473684210526316
species_multihead_no_enrichment,3,43,Micafungin,54,0.9652777777777778
species_multihead_no_enrichment,3,44,Minocycline,1929,0.8738819479177509
species_multihead_no_enrichment,3,45,Moxifloxacin,173,0.9620046620046621
species_multihead_no_enrichment,3,46,Mupirocin,1616,0.9628430682617874
species_multihead_no_enrichment,3,47,Nitrofurantoin,4211,0.9029806856726375
species_multihead_no_enrichment,3,48,Norfloxacin,4954,0.8560624286244846
species_multihead_no_enrichment,3,49,Oxacillin,3079,0.9230266713137277
species_multihead_no_enrichment,3,50,Penicillin,3455,0.9407240654526883
species_multihead_no_enrichment,3,51,Penicillin_with_meningitis,37,0.875
species_multihead_no_enrichment,3,52,Penicillin_with_other_infections,37,0.85625
species_multihead_no_enrichment,3,53,Penicillin_with_pneumonia,37,1.0
species_multihead_no_enrichment,3,54,Piperacillin,3796,0.9262044161927065
species_multihead_no_enrichment,3,55,Piperacillin-Tazobactam,5768,0.8877552814449644
species_multihead_no_enrichment,3,56,Polymyxin B,524,1.0
species_multihead_no_enrichment,3,57,Posaconazole,51,0.84
species_multihead_no_enrichment,3,58,Pristinamycin,1295,0.9704809933915188
species_multihead_no_enrichment,3,59,Rifampicin,2321,0.8791396667658888
species_multihead_no_enrichment,3,60,Strepomycin_high_level,18,0.7846153846153847
species_multihead_no_enrichment,3,61,Teicoplanin,2790,0.9470664206642067
species_multihead_no_enrichment,3,62,Tetracycline,3294,0.9108992182325137
species_multihead_no_enrichment,3,63,Ticarcillin,1814,0.93007352926732
species_multihead_no_enrichment,3,64,Tigecycline,3680,0.9938001765827144
species_multihead_no_enrichment,3,65,Tobramycin,8998,0.883783709429563
species_multihead_no_enrichment,3,66,Vancomycin,4127,0.9571941858566062
species_multihead_no_enrichment,3,67,Voriconazole,56,0.8181818181818181
species_multihead_no_enrichment,4,0,5-Fluorocytosine,63,0.6129032258064516
species_multihead_no_enrichment,4,1,Amikacin,8944,0.8761677821404906
species_multihead_no_enrichment,4,2,Amoxicillin,33,0.8676470588235294
species_multihead_no_enrichment,4,3,Amoxicillin-Clavulanic acid,5677,0.9085146687135006
species_multihead_no_enrichment,4,4,Amoxicillin-Clavulanic acid_uncomplicated_HWI,13,1.0
species_multihead_no_enrichment,4,5,Ampicillin,4247,0.9604616757288514
species_multihead_no_enrichment,4,6,Anidulafungin,63,0.6297376093294461
species_multihead_no_enrichment,4,7,Azithromycin,40,0.8324175824175823
species_multihead_no_enrichment,4,8,Aztreonam,4324,0.8399709622674777
species_multihead_no_enrichment,4,9,Benzylpenicillin,134,0.9531671159029649
species_multihead_no_enrichment,4,10,Caspofungin,66,0.9637096774193549
species_multihead_no_enrichment,4,11,Cefazolin,1854,0.9239494332220526
species_multihead_no_enrichment,4,12,Cefepime,10036,0.8834765625996814
species_multihead_no_enrichment,4,13,Cefixime,3028,0.7797968169533129
species_multihead_no_enrichment,4,14,Cefotaxime,3898,0.8814351825855841
species_multihead_no_enrichment,4,15,Cefoxitin,1210,0.9616055554160002
species_multihead_no_enrichment,4,16,Cefpodoxime,1277,0.9034127600888763
species_multihead_no_enrichment,4,17,Ceftazidime,7747,0.8402275834578231
species_multihead_no_enrichment,4,18,Ceftazidime-Avibactam,7,0.8333333333333334
species_multihead_no_enrichment,4,19,Ceftobiprole,5,1.0
species_multihead_no_enrichment,4,20,Ceftolozane-Tazobactam,13,0.8636363636363636
species_multihead_no_enrichment,4,21,Ceftriaxone,5322,0.8862398907681516
species_multihead_no_enrichment,4,22,Cefuroxime,6755,0.8817710684849526
species_multihead_no_enrichment,4,23,Chloramphenicol,1570,0.9496025446945692
species_multihead_no_enrichment,4,24,Ciprofloxacin,12231,0.8756851535157555
species_multihead_no_enrichment,4,25,Clarithromycin,247,0.7620872103630724
species_multihead_no_enrichment,4,26,Clindamycin,3303,0.8953826784801575
species_multihead_no_enrichment,4,27,Colistin,7746,0.9804303107133376
species_multihead_no_enrichment,4,28,Cotrimoxazol,268,0.8755986590038314
