fold,antibiotic_id,antibiotic,n_val_pairs,auc
4,55,Penicillin_with_other_infections,44,0.7142857142857143
4,56,Penicillin_with_pneumonia,44,0.7025641025641025
4,57,Piperacillin,3823,0.9240690843402757
4,58,Piperacillin-Tazobactam,5791,0.8531402267401408
4,59,Polymyxin B,551,1.0
4,60,Posaconazole,59,0.6909090909090909
4,61,Pristinamycin,1401,0.9616716722063131
4,62,Rifampicin,2248,0.8352198742306068
4,63,Strepomycin_high_level,16,0.5666666666666668
4,64,Teicoplanin,2829,0.9327378805831745
4,65,Tetracycline,3312,0.903286897510196
4,66,Ticarcillin,1704,0.9207786452838151
4,67,Tigecycline,3560,0.996674780837828
4,68,Tobramycin,9117,0.8730815566368513
4,69,Vancomycin,4129,0.9730068476400098
4,70,Voriconazole,65,0.5793650793650793
