model_mode,fold,species_id,species,n_val_samples,n_val_pairs,species_micro_auc,species_macro_antibiotic_auc,n_antibiotics_with_auc,mean_pairs_per_antibiotic_with_auc
implicit_species_hypernetwork_no_enrichment,0,9,Klebsiella_Oxytoca,238,3941,0.9255914224352639,0.7008839563105163,22,129.04545454545453
implicit_species_hypernetwork_no_enrichment,0,10,Klebsiella_Pneumoniae,3850,68001,0.8674606616448659,0.7179789694795059,30,2220.1666666666665
implicit_species_hypernetwork_no_enrichment,0,11,Klebsiella_Variicola,147,2349,0.9310575867345615,0.6783718156925688,15,107.4
implicit_species_hypernetwork_no_enrichment,0,12,Morganella_Morganii,158,2619,0.9221282593375617,0.5471654165828864,21,89.57142857142857
implicit_species_hypernetwork_no_enrichment,0,13,Proteus_Mirabilis,473,8711,0.9127232836643062,0.6620467586047557,30,275.2
implicit_species_hypernetwork_no_enrichment,0,14,Proteus_Vulgaris,86,1274,0.9888749458121335,0.7599182721876174,8,62.25
implicit_species_hypernetwork_no_enrichment,0,15,Pseudomonas_Aeruginosa,1090,12698,0.9463881986796644,0.8030228806661849,16,655.875
implicit_species_hypernetwork_no_enrichment,0,16,Serratia_Marcescens,245,3807,0.9791345057950939,0.7825885843980666,19,137.47368421052633
implicit_species_hypernetwork_no_enrichment,0,17,Staphylococcus_Aureus,1413,27955,0.9285670781710603,0.7567656075585426,32,750.53125
implicit_species_hypernetwork_no_enrichment,0,18,Staphylococcus_Capitis,89,1827,0.9147243630651417,0.8902789309292083,21,66.28571428571429
implicit_species_hypernetwork_no_enrichment,0,19,Staphylococcus_Epidermidis,1128,22712,0.9264169631592504,0.7944523768244788,31,687.483870967742
implicit_species_hypernetwork_no_enrichment,0,20,Staphylococcus_Haemolyticus,55,1205,0.9439377134753651,0.8424240850577697,25,40.6
implicit_species_hypernetwork_no_enrichment,0,21,Staphylococcus_Hominis,174,3715,0.9000246447054957,0.7604857718698949,24,123.91666666666667
implicit_species_hypernetwork_no_enrichment,0,22,Staphylococcus_Lugdunensis,104,2135,0.9062981821950998,0.7743404040561579,18,71.55555555555556
implicit_species_hypernetwork_no_enrichment,0,23,Stenotrophomonas_Maltophilia,131,609,0.9883087434107842,0.8369040722751604,7,38.714285714285715
implicit_species_hypernetwork_no_enrichment,0,24,Streptococcus_Pneumoniae,123,1304,0.8906757550625476,0.7331156432814845,23,46.391304347826086
implicit_species_hypernetwork_no_enrichment,1,0,Campylobacter_Jejuni,93,222,0.9333455916153351,0.7495590828924162,3,65.66666666666667
implicit_species_hypernetwork_no_enrichment,1,1,Candida_Albicans,74,587,0.8326042378673958,0.7658336932226291,8,73.375
implicit_species_hypernetwork_no_enrichment,1,2,Citrobacter_Freundii,133,2208,0.8651713072919298,0.5819197094396635,21,77.52380952380952
implicit_species_hypernetwork_no_enrichment,1,3,Citrobacter_Koseri,165,2677,0.9753069758917712,0.728460507790863,16,94.875
implicit_species_hypernetwork_no_enrichment,1,4,Enterobacter_Cloacae,311,4634,0.9008304089465413,0.6768127008625457,23,154.0
implicit_species_hypernetwork_no_enrichment,1,5,Enterococcus_Faecalis,895,14085,0.9850355427349772,0.6775360848160702,22,515.7727272727273
implicit_species_hypernetwork_no_enrichment,1,6,Enterococcus_Faecium,428,4553,0.9810930300731001,0.8370733969613084,23,166.1304347826087
implicit_species_hypernetwork_no_enrichment,1,7,Escherichia_Coli,1578,25297,0.8588902041956551,0.7045356159946884,29,817.7241379310345
implicit_species_hypernetwork_no_enrichment,1,8,Haemophilus_Influenzae,166,532,0.8541970271058001,0.6504981230599053,7,42.42857142857143
implicit_species_hypernetwork_no_enrichment,1,9,Klebsiella_Oxytoca,251,4169,0.9371430857629683,0.6892328768362733,24,136.54166666666666
implicit_species_hypernetwork_no_enrichment,1,10,Klebsiella_Pneumoniae,3838,67924,0.8833116403562491,0.7525852792136836,37,1818.2702702702702
implicit_species_hypernetwork_no_enrichment,1,11,Klebsiella_Variicola,112,1766,0.8973013233561976,0.6188857911957447,12,83.66666666666667
implicit_species_hypernetwork_no_enrichment,1,12,Morganella_Morganii,166,2727,0.9450757415746476,0.6966025234435366,21,100.28571428571429
implicit_species_hypernetwork_no_enrichment,1,13,Proteus_Mirabilis,482,8700,0.9158318420042612,0.7158381128551863,24,277.2916666666667
implicit_species_hypernetwork_no_enrichment,1,14,Proteus_Vulgaris,93,1370,0.9790987507764004,0.5704457943834621,12,46.583333333333336
implicit_species_hypernetwork_no_enrichment,1,15,Pseudomonas_Aeruginosa,1109,13027,0.9415563071377794,0.7869640411253556,15,693.4666666666667
implicit_species_hypernetwork_no_enrichment,1,16,Serratia_Marcescens,244,3880,0.969532054199843,0.6679087356724857,19,140.94736842105263
implicit_species_hypernetwork_no_enrichment,1,17,Staphylococcus_Aureus,1488,29631,0.9264647601680948,0.7470902563195083,36,750.8611111111111
implicit_species_hypernetwork_no_enrichment,1,18,Staphylococcus_Capitis,90,1799,0.9572813413069005,0.8723221959499721,20,67.2
implicit_species_hypernetwork_no_enrichment,1,19,Staphylococcus_Epidermidis,1137,23116,0.9340259261546386,0.7989735108632501,33,661.969696969697
implicit_species_hypernetwork_no_enrichment,1,20,Staphylococcus_Haemolyticus,56,1236,0.9339736211284412,0.8658815407808779,24,41.125
implicit_species_hypernetwork_no_enrichment,1,21,Staphylococcus_Hominis,149,3117,0.8805823868220225,0.7443019060928151,22,108.04545454545455
implicit_species_hypernetwork_no_enrichment,1,22,Staphylococcus_Lugdunensis,89,1763,0.9136270764043501,0.5175853976193346,21,52.38095238095238
implicit_species_hypernetwork_no_enrichment,1,23,Stenotrophomonas_Maltophilia,122,740,0.9733407130667404,0.7480016603311258,6,49.333333333333336
implicit_species_hypernetwork_no_enrichment,1,24,Streptococcus_Pneumoniae,98,921,0.8242420337017109,0.749902177002092,28,28.857142857142858
implicit_species_hypernetwork_no_enrichment,2,0,Campylobacter_Jejuni,100,229,0.9231619679380874,0.8038238941711451,3,69.66666666666667
implicit_species_hypernetwork_no_enrichment,2,1,Candida_Albicans,64,487,0.8117073821919637,0.6952817051732658,8,60.875
implicit_species_hypernetwork_no_enrichment,2,2,Citrobacter_Freundii,115,1855,0.8769580817362388,0.5536454187884858,23,70.34782608695652
implicit_species_hypernetwork_no_enrichment,2,3,Citrobacter_Koseri,171,2732,0.9382847539888421,0.7973129046491728,23,103.08695652173913
implicit_species_hypernetwork_no_enrichment,2,4,Enterobacter_Cloacae,324,4816,0.9204476921134939,0.7328812324624717,22,176.63636363636363
implicit_species_hypernetwork_no_enrichment,2,5,Enterococcus_Faecalis,981,14954,0.9880957141793332,0.7426249396670558,18,521.7222222222222
implicit_species_hypernetwork_no_enrichment,2,6,Enterococcus_Faecium,462,4954,0.974068392197879,0.8073831066676584,23,179.2608695652174
implicit_species_hypernetwork_no_enrichment,2,7,Escherichia_Coli,1539,24279,0.8605474699047196,0.7033098803113145,30,802.8666666666667
implicit_species_hypernetwork_no_enrichment,2,8,Haemophilus_Influenzae,152,452,0.8556783302639658,0.7408913124332626,7,44.42857142857143
implicit_species_hypernetwork_no_enrichment,2,9,Klebsiella_Oxytoca,243,4043,0.9504836826942181,0.7579100675085217,19,145.3684210526316
implicit_species_hypernetwork_no_enrichment,2,10,Klebsiella_Pneumoniae,3813,67329,0.8757233745238456,0.7393975346162147,30,2198.6
implicit_species_hypernetwork_no_enrichment,2,11,Klebsiella_Variicola,141,2205,0.9789029535864979,0.9241935304908085,18,83.83333333333333
implicit_species_hypernetwork_no_enrichment,2,12,Morganella_Morganii,159,2628,0.9383195154166865,0.663150921566319,21,89.0
implicit_species_hypernetwork_no_enrichment,2,13,Proteus_Mirabilis,465,8526,0.920202704845974,0.7425620075313553,28,280.5357142857143
implicit_species_hypernetwork_no_enrichment,2,14,Proteus_Vulgaris,110,1667,0.9758765692482048,0.7007356588119658,17,65.3529411764706
implicit_species_hypernetwork_no_enrichment,2,15,Pseudomonas_Aeruginosa,1018,12053,0.9516421349575794,0.7917585324559996,17,584.3529411764706
implicit_species_hypernetwork_no_enrichment,2,16,Serratia_Marcescens,244,3890,0.9710387305315726,0.700148332394454,20,145.0
implicit_species_hypernetwork_no_enrichment,2,17,Staphylococcus_Aureus,1454,28377,0.9255693639688248,0.7852723107746034,35,717.5428571428571
implicit_species_hypernetwork_no_enrichment,2,18,Staphylococcus_Capitis,78,1703,0.903534286642834,0.7528757100779176,20,61.55
implicit_species_hypernetwork_no_enrichment,2,19,Staphylococcus_Epidermidis,1169,23774,0.930372559447791,0.8157363495866979,33,678.030303030303
implicit_species_hypernetwork_no_enrichment,2,20,Staphylococcus_Haemolyticus,60,1334,0.9258013396871065,0.8718852811788221,24,44.125
