model_mode,species,antibiotic,mean_species_antibiotic_auc,std_species_antibiotic_auc,mean_n_val_pairs,mean_n_susceptible,mean_n_resistant,n_folds,n_folds_with_valid_auc
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Cefpodoxime,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Ceftazidime,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Ceftazidime-Avibactam,,,0.0,,,1,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Ceftobiprole,,,0.0,,,1,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Ceftolozane-Tazobactam,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Ceftriaxone,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Cefuroxime,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Chloramphenicol,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Ciprofloxacin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Clarithromycin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Clindamycin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Colistin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Cotrimoxazol,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Cotrimoxazole,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Daptomycin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Doxycycline,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Ertapenem,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Erythromycin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Fluconazole,0.7916416337285903,0.1323122664446845,61.2,58.4,2.8,5,5
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Fosfomycin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Fusidic acid,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,Gentamicin,,,0.0,,,5,0
